7/16/2024,31:12.7,249.8,1685.46,117.26,2.3637,116.4,29.369,0,59.991,277.2,0.4201,1.579727,1.396214,1683,15.175,0,61.0125,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.499 0 622 ,108.966667,57.523077,57.514285,124.366669,69.453062,12.309,2.969,7.28,0.038,0.005,0,24.719268,8.343214,57.631756,102.687648,102.814893,12.324857,7.053718,151.899902,3,12.462,0,0,123.900002,113,105.966667,102.833333,103.933334,104.166664,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.332,69.71,38.607,37.852,69.393,NatG-1,40450.43907,74156.64479,,1104,9.18,38.987429,0.324189,68.800003,7.28,29.303,0.978099,0.983348,0.994662,0,35.040019,0.317089,37445.42352,338.856355
7/16/2024,31:15.7,252.8,1688.46,117.29,2.3642,116.4,29.466,0,59.989,277.3,0.4199,1.579477,1.393981,1686,15.175,0,60.9875,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.434 0 629 ,108.972222,57.541568,57.520408,124.300003,69.463266,12.459,2.977,7.26,0.04,0.005,0,24.800055,8.342937,57.688778,103.933782,104.06108,12.473976,7.054687,151.89946,3.01,12.613,0,0,123.966667,112.733332,106.066666,102.766665,104.066666,104.233335,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.331,69.7,38.617,37.858,69.424,NatG-1,40456.85096,74189.77285,,1110,10.11,39.199317,0.357032,68.599998,7.26,29.303,0.978421,0.98372,0.994613,0,37.072425,0.349327,39617.34827,373.307776
7/16/2024,31:18.7,255.8,1691.46,117.25,2.3618,116.3,29.563,0,59.99,276.9,0.42,1.576509,1.392068,1689,15.175,0,60.775,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.250 0 636 ,108.861111,57.551036,57.569387,124.300003,69.44694,12.61,2.996,7.27,0.041,0.006,0,24.984085,8.342427,57.75066,105.192707,105.317925,12.624881,7.056132,151.899933,3.032,12.766,0,0,124,112.633331,105.899999,102.933332,103.800001,103.900002,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.33,69.69,38.62,37.862,69.456,NatG-1,40461.12554,74223.96957,,1110,11.01,39.199317,0.388815,68.800003,7.27,29.303,0.978075,0.983348,0.994638,0,37.999018,0.38029,40607.54954,406.396107
7/16/2024,31:21.7,258.8,1694.46,117.24,2.3596,116.2,29.66,0,59.988,276.6,0.42,1.576284,1.391163,1692,15.175,0,60.6375,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.250 0 644 ,108.922222,57.552071,57.632653,124.333336,69.436736,12.761,3.015,7.26,0.04,0.007,0,25.187166,8.342574,57.731167,106.454069,106.581381,12.776079,7.055377,151.90097,3.057,12.919,0,0,124,112.599998,105.400002,103.466665,104.033333,104.033333,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.62,29.331,69.69,38.636,37.878,69.488,NatG-1,40478.2239,74258.16628,,1110,11.955,39.199317,0.422187,68.800003,7.26,29.303,0.978051,0.983348,0.994613,0,38.259755,0.412921,40886.18559,441.266611
7/16/2024,31:24.7,261.8,1697.46,117.29,2.3621,116.5,29.773,0,59.99,277,0.4205,1.579696,1.392872,1696,15.175,0,60.575,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.468 0 652 ,108.550001,57.559467,57.7,124.366669,69.457144,12.912,3.027,7.27,0.041,0.007,0,25.302133,8.34197,57.811131,107.718899,107.84619,12.927942,7.056917,151.902008,3.071,13.072,0,0,123.800001,111.166669,105.033333,103.966667,103.733332,103.600001,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.95,0.62,29.33,69.68,38.67,37.911,69.523,NatG-1,40513.48926,74295.56894,,1110,12.99,39.199317,0.458738,68.800003,7.27,29.302,0.978043,0.983348,0.994605,0,38.280682,0.448665,40908.54862,479.464896
7/16/2024,31:27.7,264.8,1700.46,117.25,2.3588,116.2,29.854,0,59.991,276.6,0.42,1.579659,1.394712,1698,15.175,0,60.575,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.499 0 658 ,108.516667,57.561686,57.74898,124.199999,69.485715,13.063,3.028,7.27,0.041,0.01,0,25.291515,8.342061,57.762356,108.972913,109.098093,13.078013,7.056663,151.902771,3.069,13.224,0,0,123.533333,112,104.933334,103.900002,103.600001,103.133334,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.33,69.68,38.64,37.878,69.551,NatG-1,40478.2239,74325.49107,,1110,13.78,39.199317,0.486637,68.599998,7.27,29.302,0.978413,0.98372,0.994605,0,38.29567,0.476131,40924.56592,508.816606
7/16/2024,31:30.7,267.8,1703.47,117.26,2.3584,116.1,29.951,0,59.992,276.5,0.42,1.578867,1.394082,1701,15.175,0,60.6875,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.316 0 666 ,108.616667,57.558876,57.757143,124.033333,69.497959,13.21,3.015,7.28,0.039,0.01,0,25.174195,8.342263,57.732254,110.200941,110.326098,13.225216,7.054408,151.902573,3.055,13.372,0,0,123.166667,113.5,104.900002,103.633334,103.633331,102.866669,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.62,29.33,69.67,38.65,37.892,69.582,NatG-1,40493.18496,74358.61913,,1110,14.73,39.199317,0.520186,68.599998,7.28,29.302,0.978437,0.98372,0.994629,0,38.318249,0.508969,40948.69488,543.908117
7/16/2024,31:33.7,270.8,1706.47,117.19,2.3543,116,30.047,0,59.993,275.9,0.4203,1.576265,1.390733,1704,15.175,0,60.85,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.316 0 674 ,108.55,57.555325,57.728572,123.933334,69.5,13.357,2.996,7.27,0.039,0.009,0,24.995466,8.342245,57.734734,111.430982,111.558173,13.372661,7.052346,151.901871,3.033,13.521,0,0,122.800001,114.066666,104.599998,102.966667,103.933334,102.933334,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.33,69.66,38.699,37.945,69.614,NatG-1,40549.82327,74392.81585,,1116,15.675,39.411205,0.553558,68.599998,7.27,29.302,0.978413,0.98372,0.994605,0,38.332007,0.541608,40963.39754,578.78812
7/16/2024,31:36.7,273.8,1709.47,117.21,2.3549,116,30.144,0,59.992,276,0.4203,1.577519,1.391008,1707,15.175,0,60.9125,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.382 0 681 ,108.188889,57.555473,57.685714,124,69.5,13.508,2.992,7.24,0.039,0.01,0,24.863827,8.342301,57.723946,112.685116,112.812429,13.52301,7.054318,151.900833,3.017,13.674,0,0,122.533333,113.800001,104.300001,102.366666,103.533335,102.600001,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.33,69.66,38.703,37.945,69.645,NatG-1,40549.82327,74425.94392,,1116,16.575,39.411205,0.585341,68.800003,7.24,29.302,0.97797,0.983348,0.994531,0,38.342115,0.572446,40974.19952,611.742987
7/16/2024,31:39.7,276.8,1712.47,117.22,2.3543,116,30.241,0,59.994,276,0.4203,1.578261,1.394557,1710,15.175,0,60.8,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.500 0 688 ,107.638888,57.564941,57.642857,124.133331,69.5,13.657,2.991,7.27,0.038,0.013,0,24.898228,8.342461,57.741405,113.93169,114.058935,13.672677,7.054905,151.899612,3.021,13.825,0,0,122.433334,113,104.199997,100.566666,103.533333,102.099998,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.62,29.331,69.66,38.696,37.938,69.677,NatG-1,40542.34274,74460.14063,,1110,17.505,39.199317,0.618184,68.800003,7.27,29.302,0.978043,0.983348,0.994605,0,38.354834,0.60461,40987.79141,646.114935
7/16/2024,31:42.7,279.8,1715.47,117.25,2.355,116.1,30.354,0,59.995,276.1,0.4206,1.579533,1.393177,1714,15.175,0,60.85,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.249 0 697 ,107.127778,57.571745,57.624489,124.199997,69.5,13.81,2.986,7.26,0.039,0.014,0,25.014754,8.342582,57.769299,115.209237,115.334386,13.825559,7.054514,151.898834,3.036,13.981,0,0,122.5,112.566666,103.933334,99.100001,103.100001,101.566666,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.331,69.65,38.756,37.997,69.713,NatG-1,40605.39294,74498.61193,,1110,18.555,39.199317,0.655264,68.800003,7.26,29.302,0.978018,0.983348,0.99458,0,38.369199,0.64086,41003.14202,684.853832
7/16/2024,31:45.7,282.8,1718.47,117.3,2.3569,116.2,30.45,0,59.993,276.5,0.4204,1.577284,1.38994,1717,15.175,0,60.925,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.500 0 704 ,106.899999,57.560355,57.642857,124.133331,69.5,13.957,2.98,7.26,0.037,0.015,0,24.934668,8.342817,57.748222,116.434213,116.559348,13.972387,7.055207,151.898895,3.026,14.129,0,0,122.533333,111.699999,104.099998,99.133334,102.266665,101.666667,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.33,69.65,38.723,37.964,69.744,NatG-1,40570.12757,74531.74,,1116,19.47,39.411205,0.687577,68.599998,7.26,29.302,0.978389,0.98372,0.99458,0,38.382403,0.672718,41017.25329,718.898002
7/16/2024,31:48.7,285.8,1721.47,117.26,2.3548,116.1,30.547,0,59.993,276.1,0.4206,1.57576,1.390414,1720,15.175,0,61.0125,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.433 0 711 ,106.383333,57.531953,57.691837,123.900002,69.5,14.103,2.97,7.26,0.036,0.015,0,24.71722,8.34263,57.77216,117.652024,117.777173,14.118364,7.054404,151.899765,2.999,14.276,0,0,122.566666,109.699999,103.599998,99.599998,101.366669,101.466667,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.331,69.65,38.699,37.941,69.776,NatG-1,40545.54868,74565.93672,,1116,20.385,39.411205,0.71989,68.599998,7.26,29.302,0.978389,0.98372,0.99458,0,38.405898,0.704332,41042.36032,752.682886
7/16/2024,31:51.7,288.8,1724.47,117.24,2.3526,116,30.644,0,59.995,275.8,0.4206,1.577659,1.392187,1723,15.175,0,61.15,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.500 0 718 ,106.527779,57.491568,57.740816,123.633331,69.5,14.251,2.959,7.28,0.035,0.019,0,24.604355,8.342525,57.781433,118.885883,119.011062,14.266271,7.054949,151.900604,2.985,14.425,0,0,122.566666,109.166667,103.433334,100.300003,101.5,102.200002,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.95,0.62,29.33,69.65,38.726,37.968,69.808,NatG-1,40574.40216,74600.13343,,1110,21.345,39.199317,0.753792,68.599998,7.28,29.302,0.978437,0.98372,0.994629,0,38.429879,0.737538,41067.98778,788.168279
7/16/2024,31:54.7,291.8,1727.47,117.32,2.3555,116.1,30.741,0,59.996,276.3,0.4203,1.579537,1.394988,1726,15.175,0,61.1625,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.501 0 725 ,106.711112,57.451479,57.779591,123.5,69.5,14.401,2.97,7.27,0.034,0.018,0,24.71356,8.342272,57.810333,120.139638,120.264848,14.416566,7.058068,151.901474,2.998,14.576,0,0,122.5,110.766668,103.600001,100.066668,101.366669,101.966667,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.62,29.331,69.65,38.716,37.961,69.839,NatG-1,40566.92163,74633.2615,,1116,22.26,39.411205,0.786105,68.599998,7.27,29.302,0.978413,0.98372,0.994605,0,38.446586,0.769135,41085.84226,821.934517
7/16/2024,31:57.7,294.8,1730.47,117.18,2.3488,115.9,30.837,0,59.994,275.2,0.4209,1.57821,1.390254,1729,15.175,0,60.9,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.434 0 733 ,106.894444,57.421893,57.795918,123.5,69.5,14.553,2.992,7.27,0.033,0.019,0,24.968658,8.341688,57.826923,121.402214,121.527432,14.56792,7.057598,151.90239,3.029,14.73,0,0,122.333336,111.399999,103.766665,100.633334,101.5,101.733332,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.33,69.65,38.723,37.968,69.871,NatG-1,40574.40216,74667.45821,,1116,23.175,39.411205,0.818418,68.800003,7.27,29.302,0.978043,0.983348,0.994605,0,38.4643,0.800448,41104.77184,855.39638
7/16/2024,32:00.7,297.8,1733.47,117.25,2.351,115.9,30.934,0,59.995,275.6,0.4206,1.577074,1.389424,1732,15.175,0,60.6625,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.434 0 740 ,106.372221,57.41213,57.779591,123.400002,69.5,14.704,3.016,7.28,0.033,0.019,0,25.219841,8.341469,57.792717,122.665481,122.792771,14.719607,7.057427,151.903641,3.06,14.883,0,0,122.166664,108.366666,103.733332,101.099998,101.5,101.366666,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.33,69.65,38.729,37.971,69.902,NatG-1,40577.6081,74700.58628,,1110,24.12,39.199317,0.851791,68.599998,7.28,29.302,0.978437,0.98372,0.994629,0,38.479332,0.833423,41120.83535,890.635694
7/16/2024,32:03.7,300.8,1736.47,117.18,2.348,115.9,31.03,0,59.994,275.1,0.4211,1.577172,1.392388,1735,15.175,0,60.625,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.434 0 747 ,105.883334,57.414497,57.736735,123.300003,69.5,14.853,3.025,7.27,0.03,0.02,0,25.316447,8.341112,57.793579,123.910173,124.037425,14.868822,7.056113,151.904465,3.071,15.033,0,0,122.033333,105.433334,103.933334,101.233335,101.333333,101.333336,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.33,69.65,38.716,37.961,69.934,NatG-1,40566.92163,74734.783,,1116,25.05,39.411205,0.884633,68.599998,7.27,29.303,0.978446,0.98372,0.994638,0,38.482322,0.865565,41124.03102,924.984263
7/16/2024,32:06.7,303.8,1739.47,117.25,2.3503,115.8,31.111,0,59.994,275.6,0.4204,1.579883,1.3942,1737,15.175,0,60.7125,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.382 0 753 ,105.405555,57.399112,57.681633,123.300003,69.5,14.996,3.019,7.26,0.028,0.022,0,25.218708,8.341579,57.726986,125.097004,125.224233,15.011099,7.052183,151.904556,3.06,15.177,0,0,121.933334,104.933334,103.399999,100.266665,100.733332,101.166664,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.331,69.65,38.716,37.958,69.962,NatG-1,40563.71569,74764.70512,,1110,25.86,39.199317,0.913238,68.800003,7.26,29.303,0.978051,0.983348,0.994613,0,38.477307,0.893194,41118.6717,954.508955
7/16/2024,32:09.7,306.8,1742.47,117.22,2.3489,115.9,31.223,0,59.992,275.3,0.421,1.578313,1.392425,1741,15.175,0,60.9375,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.250 0 762 ,105.694445,57.399704,57.624489,123.166664,69.5,15.149,2.999,7.28,0.029,0.02,0,25.010006,8.341638,57.721283,126.374952,126.502128,15.164293,7.049858,151.903656,3.034,15.332,0,0,122,106.866669,102.600001,100.666667,100.933334,101.099998,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.329,69.65,38.689,37.935,69.997,NatG-1,40539.1368,74802.10778,,1110,26.895,39.199317,0.949789,68.599998,7.28,29.303,0.97847,0.98372,0.994662,0,38.475528,0.92934,41116.77049,993.136391
7/16/2024,32:12.7,309.8,1745.47,117.2,2.3479,115.8,31.32,0,59.99,275.2,0.421,1.577537,1.390614,1744,15.175,0,61.025,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.500 0 769 ,106.233334,57.424408,57.575509,122.966667,69.5,15.296,2.977,7.26,0.028,0.023,0,24.804823,8.34216,57.652771,127.599792,127.726991,15.310881,7.052285,151.902359,3.009,15.479,0,0,122.033333,109.433332,102.266668,101.266668,101.5,100.900002,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.331,69.65,38.673,37.918,70.029,NatG-1,40520.9698,74836.30449,,1116,27.84,39.411205,0.983161,68.800003,7.26,29.302,0.978018,0.983348,0.99458,0,38.466148,0.96155,41106.74626,1027.557568
7/16/2024,32:15.7,312.8,1748.47,117.26,2.3498,115.9,31.416,0,59.988,275.5,0.4207,1.575794,1.391438,1747,15.175,0,61.15,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.500 0 776 ,106.327777,57.465976,57.530612,122.833336,69.5,15.444,2.968,7.28,0.024,0.024,0,24.696004,8.342533,57.649906,128.837378,128.962543,15.459234,7.05335,151.901154,2.996,15.629,0,0,122.066666,110.199999,102.233332,101,101.733332,100.733335,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.331,69.65,38.696,37.941,70.06,NatG-1,40545.54868,74869.43256,,1116,28.74,39.411205,1.014944,68.599998,7.28,29.303,0.97847,0.98372,0.994662,0,38.457471,0.993093,41097.4738,1061.265659
7/16/2024,32:18.7,315.8,1751.48,117.17,2.3455,115.7,31.513,0,59.989,274.8,0.4211,1.578427,1.393616,1750,15.175,0,61.125,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.250 0 784 ,106.144443,57.510059,57.512245,122.699997,69.5,15.593,2.969,7.27,0.024,0.028,0,24.732631,8.343151,57.630867,130.0792,130.20646,15.608333,7.052506,151.900101,3,15.779,0,0,122.099998,110.133331,102.633334,100.299998,101.466665,100.233332,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.331,69.65,38.656,37.905,70.092,NatG-1,40507.07738,74903.62928,,1116,29.67,39.411205,1.047787,68.599998,7.27,29.303,0.978446,0.98372,0.994638,0,38.460681,1.025203,41100.90459,1095.580163
7/16/2024,32:21.7,318.8,1754.48,117.24,2.3486,115.9,31.609,0,59.987,275.3,0.4209,1.580772,1.394831,1753,15.175,0,61.075,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.500 0 791 ,105.988889,57.548668,57.530612,122.599998,69.5,15.743,2.984,7.26,0.022,0.029,0,24.883666,8.342871,57.676086,131.332257,131.459562,15.758535,7.053525,151.899887,3.018,15.931,0,0,121.966667,109.333333,103.100001,99.700002,101.333333,100.5,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.33,69.65,38.713,37.958,70.124,NatG-1,40563.71569,74937.82599,,1110,30.63,39.199317,1.081689,68.800003,7.26,29.303,0.978051,0.983348,0.994613,0,38.463041,1.057947,41103.42675,1130.572671
7/16/2024,32:24.7,321.8,1757.48,117.23,2.3473,115.8,31.706,0,59.988,275.2,0.421,1.580369,1.39495,1756,15.175,0,60.8375,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.250 0 799 ,105.716667,57.573373,57.581632,122.466667,69.5,15.895,3.006,7.31,0.018,0.028,0,25.077208,8.342437,57.732563,132.597915,132.725236,15.910243,7.061913,151.900253,3.042,16.084,0,0,121.699999,108.733332,103.5,99.366669,100.433334,100.566666,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.33,69.65,38.683,37.928,70.155,NatG-1,40531.65627,74970.95406,,1116,31.53,39.411205,1.113472,68.599998,7.31,29.303,0.978542,0.98372,0.994736,0,38.467206,1.08958,41107.87693,1164.376726
7/16/2024,32:27.7,324.8,1760.48,117.2,2.345,115.7,31.802,0,59.992,274.8,0.4211,1.578763,1.393259,1759,15.175,0,60.7875,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.500 0 806 ,105.5,57.578994,57.636734,122.333336,69.5,16.046,3.021,7.28,0.018,0.03,0,25.248971,8.342152,57.766209,133.857895,133.98309,16.061026,7.058133,151.900635,3.063,16.236,0,0,121.400002,107.900002,103.666664,99.366669,100.199999,100.466667,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.33,69.65,38.663,37.908,70.187,NatG-1,40510.28332,75005.15077,,1110,32.445,39.199317,1.145785,68.599998,7.28,29.303,0.97847,0.98372,0.994662,0,38.47873,1.121116,41120.19291,1198.078089
7/16/2024,32:30.7,327.8,1763.48,117.27,2.348,115.9,31.899,0,59.993,275.3,0.421,1.579174,1.391319,1762,15.175,0,60.725,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.433 0 814 ,105.438889,57.585651,57.681633,122.166664,69.5,16.195,3.025,7.3,0.019,0.028,0,25.304326,8.342636,57.710087,135.105547,135.230727,16.210823,7.053213,151.901352,3.069,16.387,0,0,121.133331,107.766665,103.233335,99.900002,100.133334,100.466667,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.33,69.65,38.666,37.911,70.219,NatG-1,40513.48926,75039.34749,,1110,33.405,39.199317,1.179688,68.599998,7.3,29.303,0.978518,0.98372,0.994712,0,38.485551,1.154346,41127.48168,1233.588435
7/16/2024,32:33.7,330.8,1766.48,117.21,2.3451,115.8,31.995,0,59.993,274.9,0.4213,1.575157,1.391008,1765,15.175,0,60.7625,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.500 0 821 ,105.366667,57.600739,57.706123,122.099998,69.5,16.344,3.018,7.29,0.017,0.029,0,25.207382,8.342334,57.745499,136.345411,136.47056,16.35919,7.053521,151.901077,3.057,16.537,0,0,120.900002,107.833333,103.133334,100.466667,99.833336,100.033333,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.33,69.65,38.653,37.898,70.25,NatG-1,40499.59685,75072.47556,,1116,34.32,39.411205,1.212001,68.599998,7.29,29.303,0.978494,0.98372,0.994687,0,38.483238,1.185935,41125.00987,1267.346469
7/16/2024,32:36.7,333.8,1769.48,117.26,2.3464,115.9,32.092,0,59.993,275.1,0.4212,1.576117,1.391438,1768,15.175,0,60.8875,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.501 0 828 ,104.683334,57.610651,57.714286,122.066666,69.5,16.491,2.997,7.3,0.018,0.028,0,25.012361,8.342495,57.728882,137.571503,137.698687,16.506399,7.053378,151.900696,3.034,16.685,0,0,120.533333,105.133334,102.533333,99.900002,99.900002,100.099998,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.331,69.65,38.65,37.895,70.282,NatG-1,40496.39091,75106.67227,,1116,35.235,39.411205,1.244313,68.599998,7.3,29.303,0.978518,0.98372,0.994712,0,38.478616,1.217583,41120.07038,1301.167146
7/16/2024,32:39.7,336.8,1772.48,117.22,2.3442,115.8,32.188,0,59.993,274.8,0.4214,1.5767,1.391913,1771,15.175,0,61.1375,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.433 0 836 ,104.466667,57.618195,57.708164,121.966667,69.5,16.637,2.977,7.3,0.018,0.028,0,24.809347,8.342517,57.734673,138.79459,138.919739,16.652768,7.053782,151.899628,3.009,16.833,0,0,120.166667,104.533335,102.199999,99.933334,99.966667,100,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.33,69.65,38.62,37.868,70.313,NatG-1,40467.53743,75139.80034,,1110,36.165,39.199317,1.277156,68.800003,7.3,29.303,0.978148,0.983348,0.994712,0,38.475025,1.249247,41116.23313,1335.004988
7/16/2024,32:42.7,339.8,1775.49,117.23,2.3439,115.8,32.285,0,59.995,274.8,0.4214,1.581424,1.393415,1774,15.175,0,61.15,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.500 0 843 ,104.583333,57.623816,57.702042,121.766668,69.5,16.787,2.981,7.31,0.019,0.028,-0.001,24.728136,8.342423,57.775486,140.041361,140.168788,16.802245,7.057109,151.899277,2.999,16.984,0,0,119.800001,105.266668,102.166664,100.366669,100.066666,99.833333,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.331,69.65,38.617,37.865,70.345,NatG-1,40464.33149,75173.99705,,1116,37.095,39.411205,1.309999,68.599998,7.31,29.303,0.978542,0.98372,0.994736,0,38.459846,1.281889,41100.01253,1369.887557
7/16/2024,32:45.7,342.8,1778.49,117.22,2.3432,115.8,32.381,0,59.995,274.7,0.4214,1.579123,1.394216,1777,15.175,0,60.8375,1,Testing Tank A - Drawing Water Until RTD Out = 112.2°.... 0.433 0 851 ,104.483334,57.640384,57.700001,121.599998,69.5,16.94,3.001,7.32,0.019,0.028,0,24.944449,8.342516,57.776825,141.31956,141.446926,16.955452,7.050358,151.898849,3.025,17.138,0,0,119.599998,105.633334,102.333336,99.800001,99.800001,99.733332,0,1,0,0,0,1068.647,1050.061,1386.276,0.594,92.357,6.89,0.38,0.039,0,0.319,0,0.009,0.005,0.001,0,29.96,0.63,29.331,69.65,38.613,37.862,70.376,NatG-1,40461.12554,75207.12512,,1110,38.01,39.199317,1.342312,68.800003,7.32,29.303,0.978196,0.983348,0.994761,0,38.449714,1.313044,41089.18431,1403.181187
